Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)
2017 191  6150  -1836969.402   6065616.893   -716257.927      0.562   2.268   0.292   2.560  14.365
2017 191  6180  -1836969.403   6065616.892   -716257.927      0.937   2.268   0.293   2.560  14.365
2017 191  6210  -1836969.403   6065616.891   -716257.927      0.927   2.268   0.293   2.561  14.366
2017 191  6240  -1836969.404   6065616.891   -716257.927      1.115   2.268   0.293   2.561  14.368
2017 191  6270  -1836969.405   6065616.890   -716257.927      0.888   2.268   0.293   2.561  14.369
2017 191  6300  -1836969.405   6065616.889   -716257.927      1.909   2.268   0.293   2.561  14.370
2017 191  6330  -1836969.406   6065616.889   -716257.927      2.031   2.268   0.293   2.560  14.371
2017 191  6360  -1836969.406   6065616.889   -716257.927      1.854   2.268   0.292   2.560  14.372
2017 191  6390  -1836969.407   6065616.889   -716257.927      1.686   2.268   0.292   2.560  14.374
2017 191  6420  -1836969.408   6065616.889   -716257.926      1.626   2.268   0.292   2.560  14.375
2017 191  6450  -1836969.409   6065616.889   -716257.926      1.560   2.268   0.292   2.559  14.376
2017 191  6480  -1836969.409   6065616.889   -716257.926      1.861   2.268   0.291   2.559  14.376
2017 191  6510  -1836969.410   6065616.890   -716257.926      1.530   2.268   0.291   2.559  14.375
2017 191  6540  -1836969.411   6065616.890   -716257.926      1.316   2.268   0.291   2.559  14.376
2017 191  6570  -1836969.411   6065616.890   -716257.926      1.995   2.268   0.290   2.558  14.378
2017 191  6600  -1836969.412   6065616.890   -716257.926      1.070   2.268   0.290   2.558  14.378
2017 191  6630  -1836969.413   6065616.890   -716257.926      0.860   2.268   0.290   2.558  14.379
2017 191  6660  -1836969.413   6065616.890   -716257.926      0.851   2.268   0.289   2.557  14.380
2017 191  6690  -1836969.414   6065616.890   -716257.926     -0.165   2.268   0.289   2.557  14.381
2017 191  6720  -1836969.414   6065616.890   -716257.926      0.081   2.268   0.289   2.557  14.383
2017 191  6750  -1836969.415   6065616.890   -716257.926      0.409   2.268   0.289   2.557  14.384
2017 191  6780  -1836969.415   6065616.890   -716257.926      0.371   2.268   0.289   2.556  14.385
2017 191  6810  -1836969.416   6065616.890   -716257.926      0.373   2.268   0.288   2.556  14.387
2017 191  6840  -1836969.416   6065616.890   -716257.926      0.819   2.268   0.288   2.556  14.386
2017 191  6870  -1836969.416   6065616.890   -716257.926      0.403   2.268   0.288   2.556  14.386
2017 191  6900  -1836969.417   6065616.890   -716257.926      0.745   2.268   0.288   2.555  14.385
2017 191  6930  -1836969.418   6065616.890   -716257.926      0.262   2.268   0.287   2.555  14.385
2017 191  6960  -1836969.418   6065616.890   -716257.926      0.272   2.268   0.287   2.555  14.384
2017 191  6990  -1836969.419   6065616.891   -716257.926      0.291   2.268   0.287   2.554  14.384
2017 191  7020  -1836969.420   6065616.891   -716257.926      0.085   2.268   0.286   2.554  14.383
2017 191  7050  -1836969.420   6065616.891   -716257.926      0.762   2.268   0.286   2.554  14.383
2017 191  7080  -1836969.420   6065616.891   -716257.926      0.451   2.268   0.286   2.554  14.382
2017 191  7110  -1836969.421   6065616.891   -716257.926      0.660   2.268   0.286   2.554  14.382
2017 191  7140  -1836969.421   6065616.892   -716257.926      0.365   2.268   0.286   2.554  14.382
2017 191  7170  -1836969.421   6065616.892   -716257.926      0.190   2.268   0.286   2.554  14.382
2017 191  7200  -1836969.421   6065616.892   -716257.926      0.005   2.268   0.286   2.554  14.381
2017 191  7230  -1836969.421   6065616.891   -716257.926      0.027   2.268   0.286   2.553  14.380
2017 191  7260  -1836969.422   6065616.892   -716257.926      0.487   2.268   0.285   2.553  14.380
2017 191  7290  -1836969.422   6065616.892   -716257.926      0.559   2.268   0.285   2.553  14.379
